,Author,Headline,Article,Date
0,Jhinuk Mazumdar,Lockdown logbook for kids - Telegraph India,"Stuck at home all day under the constant supervision of parents can leave children edgy. The Telegraph draws up a list of activities that will keep them occupied and make the lockdown more bearable. Go online: Online courses can keep the young occupied and their parents content that the children are not whiling away their time aimlessly on the internet.Though several city schools are taking online classes, the students are still left with a lot of free time that can be used to brush up their skills in a particular subject or learn a new language or even a new discipline. “There are many websites where one can listen to lectures or work on assignments. All this is free, one has to pay a fee only if s/he wants a certificate,” education counsellor Nirmal Agarwal said.“Such courses offer deeper understanding of a particular subject or an opportunity to explore a subject outside the school curriculum,” Agarwal said.Online courses allow one to learn at his or her own pace and at a convenient time. All online courses need not be “utilitarian” but can help “engage the mind”.Teachers, however, warn that students must be guided by parents and teachers. Research for overseas applications: Many students will be applying to foreign universities in September-October and this time can be utilised to shortlist universities and prepare a statement of purpose. Many students are also getting in touch with career counsellors/teachers over email and WhatsApp for guidance in which college to choose for which discipline and the scholarships available. Modern High School for Girls pushes students to write a 2,000-word research essay that is not confined to the syllabus. “The statement of purpose is not only about academic excellence or the marks they have scored but can also be about community service. Research essays can be included in the statement and it shows how students are pushing boundaries,” Modern High School principal Damayanti Mukherjee said.Read and read out to the elderly: Every home has books and the teachers’ advice is to pick up one from the shelf and start reading.“Students are so busy with studies that they often don’t get time to read anything beyond the syllabus. Now, they can choose books that are not meant for exams. Maybe in history, they can pick up books on the freedom movement, renaissance or biographies of philosophers or thinkers or people who have overcome odds. If they read about people who have conquered odds, it will lift their spirits,” said Devi Kar, the director of Modern High.Some teachers suggest introducing reading schemes to encourage the habit. “They can be asked to read a book and respond to it by writing a review, making a scrap book, or an art installation,” said Sujata Sen, CEO of Future Hope. Some schools are also sending reading materials to students.“For middle school students, we have prepared PDF files of short stories that parents can download from the website and read aloud with the children,” said Anjana Saha, the principal of Mahadevi Birla World Academy. “We have also sent messages to parents to use audio books,” Saha said.Another teacher suggested reading aloud to elderly members of the family. “Young children should read out to grandparents who have weak eyesight and cannot read. They should read out slowly to them, patiently and repeat when they cannot follow or ask them to do,” said Anuradha Das, the director of Garden High International School. Learn patience: This is the time to learn to be at peace with oneself and the surroundings instead of just looking for “instant gratification”, said Das. Parents should talk to their children and spend time with them. “Confinement is something they don’t like and they get restless. Their mental state becomes more important than the coronavirus, so this is the time when they can learn to be at peace with themselves and their immediate surroundings. We didn’t anticipate this and it is important to learn to cope with it,” Das said. Write journals: Students can maintain a daily or weekly record of their activities. Writing it all down will also improve writing skills and create memories. One could also take photos of some special moments with family members and attach them with notes.Counsellor’s tips: Psychiatrists say the present situation is a completely “unchartered territory” and is bound to create a “degree of uncertainty and stress”.Psychiatrist Jai Ranjan Ram said there are ways to spend time with family and do things that people do not get time to do. “Parents can learn computer games from their children, take out a family album and try and locate people in those albums,” said Ram. Video calls to relatives could also be a way to socialise.",2020-01-04 21:14:00
1,Chandreyee Ghose,Help at doorstep for senior citizens in Kolkata - Telegraph India,"Octogenarian Dipti Bhattacharya and her husband ran out of their regular medicines last week and all the neighbourhood pharmacies refused to deliver. A group of young volunteers came to their rescue, bringing them the medicines in an hour.Several senior citizens across the city have been showering blessings on Let’s Help, a non-profit help group formed by professionals from the city that has been in operation since March 17.The group’s mission is to provide senior citizens with essential services, home-cooked food and medicines during the lockdown.It all started with a Facebook post by Debayan Datta, 33, who works in the hospitality industry.“Many of my friends work in other cities and countries while their elderly parents live on their own in Calcutta. To help the aged and vulnerable, I wanted to start a network of services that would provide them essentials at their doorstep at no charge in these trying times. So I posted on Facebook, calling for volunteers,” Datta said. Entrepreneur Debjani Mookherjee, professional Turni Dhar and brand strategist Luna Chatterjee were among the first to respond.Together, they started helping senior citizens, getting them everything from hand sanitisers and masks to groceries. “We began by helping senior citizens get hand sanitisers at the market rate when it was not available in any store,” Dhar said.Soon, they moved on to supplying groceries, homemade food, medicines as well as pet needs to nearly 100 senior citizens in the city. “We passed the word around through social media and WhatsApp. The response was phenomenal. Not only did we reach out to senior citizens from across the city, our number of volunteers grew as well,” Chatterjee said.The group now has around 190 volunteers, including medical professionals.“When we needed medicines, I tried contacting several pharmacies but none of them would deliver. We are too old to go out and buy things. My niece came to know about this volunteer group and contacted them. We got our medicines in an hour. I was so relieved,” said Bhattacharya, a resident of Survey Park. Volunteer Zeeshan Majeed, who runs NGO Anti Hunger Squad, delivered medicines to a blind senior citizen at Park Circus. “He had no one to help out during this time and reached out to us,” he said.An elderly couple living at Central Park in Jadavpur ran out of provisions and Dhar offered to buy the essentials for them. “I bought the stuff and then approached police for help with transport. They arranged an auto for me and I was able to deliver the goods,” Dhar said.That’s been the motto of Let’s Help so far. Members from different professions have joined the platform to reach out to their para people or the helpless.Mookerjee, who runs the Nanighar app that delivers home-cooked food, has been supplying meals to 12 senior citizens. “With household help not turning up, I am getting many calls from elderly couples for home-cooked food,” she said. “A couple of days ago, an-80-year-old contacted me asking for masks. After depositing her essentials, I also promised her home-made food.”The volunteers can be contacted at 8961907625 or md_nehal@ymail.com.",2020-01-04 21:15:00
2,Anasuya Basu,"Alzheimer’s, dementia patients hit hard - Telegraph India","The day-care centre of Alzheimer’s and Related Disorders Society of India (ARDSI) in Survey Park has been closed from March 17 because of the novel coronavirus pandemic.The inmates of the day-care centre, people with diminishing memory and resultant cognitive impairment, miss their daily visits to the centre from 10am to 4pm where they used to sing, participate in group activities, lunch and have tea with other inmates and caregivers, and play cognitive games.Their primary caregivers at home, in the meantime, used to get a seven-hour break from the rigours of caring for Alzheimer’s patients.“We had to stop our in-person services at the day-care centre because of the lockdown. But we are connecting with families over WhatsApp, on our helpline and social media page,” Nilanjana Maulik, secretary of ARDSI, Calcutta chapter, said.“The biggest problem we are facing is the psychological and emotional impact of the change in their daily routine and environment — both for the people with dementia and their caregiver/s. We are noticing some issues with anxiety and stress during this period.”Perhaps, it was this anxiety and stress that led the 91-year-old Alzheimer’s patient to wander out of his home in Entally a few days ago. He was found dead on the road, barely a kilometre from his home.The incident underlines the challenges of providing such patients with care in these times. “Most likely dementia does not increase risk for Covid-19, the respiratory disease caused by the novel coronavirus, just like dementia does not increase the risk of flu. However, dementia-related behaviour and common health conditions that often accompany dementia may increase the risk,” according to the Alzheimer’s Association, US.During such prolonged lockdown there is definitely an increase in psychological stress on every human being, P.K. Pooviah, a geriatric specialist, said. “People with pre-existing memory problems and dementia will naturally be more vulnerable and disoriented in the current environment. Caregivers of patients with dementia, too, will be under extreme stress because of the stress of day-to-day living compounded by the fact they have to be on 24X7 call to care for the person with memory problems.”Under such challenging circumstances, it is important that caregivers have access to support to help them cope with the situation. The Bengal chapter of the Indian Association of Psychiatrists has set up a helpline, which works from 7am to 9pm, helping and counselling people. “Access to regular meals and having their basic physical needs met is critical to keep patients with dementia calm. Keeping a non-confrontational and calm environment at home is also critical,” Pooviah said.China, which was the epicentre of the coronavirus outbreak a few months ago, experienced the challenge of taking care of patients with dementia during the lockdown there. In a presentation by Huali Wang, executive vice-president of Alzheimer’s Disease China (ADC), the importance of the “continuum of dementia care” was stressed. “In order to continue giving care to Alzheimer’s patients, the family of the patient should be supported, the function of the community should be maximised and at the macro-level, different stakeholders should be involved.“Prolonged spells of lockdown and change in their routines will spark deep anxiety within them. In a therapy where interpersonal relationship, touch and feel of a loved and trusted person is a crucial factor in care, an impersonal ICU with nurses in Personal Protective Equipment will cause intense agitation in such patients.”",2020-01-04 21:15:00
5,Our Special Correspondent,Bursts of rain in parts of Kolkata - Telegraph India,"Some parts of Calcutta and South 24-Parganas saw a brief windy spell with light rain on Wednesday evening.The pent-up heat on land and a high-pressure area over the Bay of Bengal led to the formation of rain-bearing clouds, a Met official said.The temperature had been more than 35 degrees Celsius, and the RealFeel a few notches more for the past few days. The brief spell of wind and rain would have been a welcome break for Calcuttans during any other year. But in times of lockdown because of the coronavirus, many Caluttans did not complain about the heat because of popular perception that the rising temperature might “kill” the virus.How the novel coronavirus reacts to a change in temperature is still unknown, though, and is being researched. The Celsius soared to 36.4 degrees on March 28 and has been hovering above 35 degrees for the past few days. On Wednesday, the maximum temperature was 37 degrees Celsius, two notches above normal.“The heat had been accumulating for a few days. A high-pressure zone over the Bay, aided by the heat, sent a lot of moisture into the land and led to formation of cumulonimbus clouds. The clouds floated towards south Bengal via East and West Midnapore and Jhargram,” G.K. Das, director, India Meteorological Department, Calcutta, said.The winds started blowing around 5.30pm, followed by light rain. The intensity was more in South 24-Parganas and on the city’s southern outksirts. The rain came in intermittent bursts.Joka and Behala received around 5mm of rain and Dhapa around 4mm till 8pm, according to the civic body’s weather tracking website.The weather will remain warm for the next few days, the Met office has said. “The maximum temperature is likely to be around 36 degrees Celsius,” a Met official said.",2020-01-04 21:16:00
6,Our Special Correspondent,Coronavirus caution: cops crack puja whip - Telegraph India,"Several Calcuttans on Wednesday organised Annapurna Puja attracting public gathering in pockets of the city, following which chief minister Mamata Banerjee urged people to restrict their pujas inside their homes. “Annapurna Pujo ache, hobe. Kintu bari-tei korun (Today is Annapurna Puja and it will be celebrated. But please do it at your home),” she said after reports of people celebrating in public emerged.Police said several pujas were organised inside homes on Wednesday but some were opened to public and prasad was distributed in violation of the lockdown norms. There were allegations that some of the traditional pujas across the city attracted crowds before the police intervened to disperse the gatherings. In at least one of the places, cops had to close the entrance to a building where the puja had been organised to stop people from entering.Some of the organisers said they had followed the social distancing rule. The police, though, said it was best to avoid any gathering that could be a potential trigger for the spread of the coronavirus.An official at Nabanna said the government would not allow any form of gathering — religious or otherwise — that could become a potential hotspot for the spread of the virus. “We are not in a position to take any more chances,” the official said.Senior officers at Lalbazar said the police acted on every complaint of public gathering and sent teams to check the veracity of each.“We understand the sentiments around puja or any other religious occasion. But this is not the time for emotions,” an officer said. “We are in a war-like situation where only saving lives will matter, nothing else.”More than a week into the lockdown, people are still stepping out of their homes for no apparent reason. The police on Wednesday arrested 48 people for violating the lockdown norms. The maximum number of violators was from the central division, while no cases were reported from the north division.",2020-01-04 21:19:00
8,Our Special Correspondent,"Promote students of classes IX, XI: CBSE - Telegraph India","The CBSE has advised schools to promote students of Classes IX and XI to the next year on the basis of school assessments or by giving them an opportunity to appear in online or offline tests.Those in Classes I to VIII may also be promoted to the next class, the board has said. The secretary of the Central Board of Secondary Education, Anurag Tripathi, issued a statement on Wednesday, which has also been posted on the board’s website and sent to the heads of schools.“...though several schools affiliated to CBSE have completed their examination, evaluation and promotion process for students who were studying in grades IX and XI in the 2019-20 academic session, there are several schools that have not been able to do so. This includes among others, Kendriya Vidyalayas, Navodaya Vidyalayas, State/ UT government schools, private schools, schools located in India and abroad, etc. All such schools are advised to promote students of grades IX and XI to the next grades on the basis of all the school based assessments including project work, periodic tests, term exams,etc, conducted so far,” the release says.“For any child who is unable to clear this internal process (in any number of subjects), the school may utilise this period for providing remedial interventions, and school may give the opportunity of appearing in school-based test/s online or offline. The promotion of such children may be decided on the basis of such tests.The board has said it is assessing the situation and is keen to “mitigate the anxiety of the students, parents, and schools”. Several CBSE schools in the city have already distributed e-report cards but a few are yet to conduct some exams.",2020-01-04 21:20:00
10,Subhajoy Roy,"Coronavirus Outbreak: Isolation over, what now? - Telegraph India","At least some of the people who have completed their 14-day quarantine at home after returning from abroad are unsure about how to conduct themselves over the next few days, conversations with them revealed.Can they step out? Can they mingle with others or visit the market? Do they still have to be in touch with health officials? Many don’t seem to have answers to these questions.A 41-year-old woman from Salt Lake said she had not received any call from any government official since her home quarantine ended on Tuesday.She was not sure what to do and called up a Covid-19 helpline, mentioned on the website of the state health department, on Wednesday.“Health officials had earlier told me that the home quarantine was for 14 days. I wanted to be doubly sure whether I could enter the room where my son and husband have been staying over the past two weeks,” said the woman, who had returned from London in the middle of March.On calling the helpline, she was told that there was no bar on her meeting her son and husband since her quarantine period was over and she had not developed any Covid-19 symptom such as fever, cough or breathing trouble.Doctors have said these three are symptoms that should alert a person that he or she might have contracted SARS-CoV2, or the new coronavirus that causes Covid-19. The person who answered her call, however, did not tell her that she needed to call the helpline and alert the government if she developed any of the symptoms in the next 14 days.Asymptomatic persons who returned from abroad were required to undergo a 28-day home surveillance, split into two parts of 14-day each, an official of the Calcutta Municipal Corporation (CMC) said.In Calcutta, the civic body is entrusted with the responsibility of keeping tabs on people who have been asked to quarantine themselves at home after their return from abroad.The CMC official said a person was free to mingle with others in the family in the second phase — from the 15th day to the 28th day — but must not stop self-surveillance.“The first 14 days form the active surveillance period, during which we, from the government, call up the person every day and find out whether he or she has any of the Covid-19 symptoms — fever, cough or breathing trouble,” the official said.During the second phase, which is called passive surveillance, the person has to be under self-surveillance. “The second phase is as important as the first. It must be clearly explained to the person what he or she needs to do during the passive surveillance period. During the second phase, the person has to alert the health department via the helplines mentioned on the department’s website if he or she develops any Covid-19 symptom,” the official said.The Salt Lake woman, however, told Metro that the person who answered her call to the helpline did not tell her anything about passive surveillance. “The person who spoke to me said I could enter the room where my son and husband are staying wearing a mask,” she said. The guidelines for home quarantine issued by the Union health ministry does not say anything about how one should live after the first 14 days. A man in his 20s who had returned from Amsterdam, via Dubai, on March 16 had a better experience. “I received a call on the 15th day. They told me not to step out for another 14 days unless it is absolutely necessary. Even at home, they asked me to maintain social distancing with my family members,” said the resident of Topsia, who had spent the quarantine period alone, away from his family. He met his family members only on Wednesday.",2020-01-04 21:20:00
11,Subhankar Chowdhury,Syllabus query for VCs in Kolkata - Telegraph India,"The higher education department has asked the vice-chancellors to state what steps they are taking during the lockdown to complete the syllabus, an official of the department said.The official told Metro that the principal secretary of the higher education department, Manish Jain, was in touch with the VCs of all state-aided universities and reviewing the steps taken by them.When contacted, Jain declined to comment.“The department has reminded the VCs about the compulsions of the choice-based credit system and the need to complete the syllabus in time,” an official said.Jadavpur University VC Suranjan Das said teachers were free to take online classes as much as possible, but they had been asked not to hold any evaluation online.“All students may not have the facility to take part in online evaluation,” said Das.The state government had asked all colleges and universities to remain shut from March 16 till April 15 to fight the spread of the novel coronavirus.The higher education department on Wednesday asked all colleges to state by Thursday whether they have started online classes. The colleges where online lessons have started have to submit a report mentioning details.Jaydeep Sarangi, the principal of New Alipore College, said the institution had been conducting online classes in English, math, anthropology, commerce, political science and philosophy since March 22.Siuli Sarkar, the principal of Lady Brabourne College, too, said online classes had started in many subjects.",2020-01-04 21:21:00
13,Our Special Correspondent,Covid-19 pandemic: ‘Exaggeration’ cuffs on 2 - Telegraph India,"Two men have been arrested for allegedly circulating a clip of a Covid-related conversation that police said contained false information and was “motivated and exaggerated”.Naveen Kumar Poddar was accused of giving a “fake, motivated and exaggerated view” of the death of one of his friends during a telephone conversation with Rajib Sharma alias Pappu.Sharma has been arrested for allegedly recording the conversation and circulating the clip in the social media. A case was drawn at Burtolla police station on Thursday, after which both the accused were questioned for hours and arrested.The duo have been booked under sections that deal with intentional insult to provoke breach of peace, circulating rumours with the intention to create fear and alarm in public, provocation for causing rioting, common intention and sections of the Disaster Management Act.",2020-01-05 01:06:00
14,Subhajoy Roy,What to do when a patient tests positive for Covid-19 - Telegraph India,"Panic sets in at healthcare facilities every time a patient admitted for some other disease tests positive for Covid-19.The Union health ministry’s guidelines on what to do are clear, though.The guidelines state that once “a suspect/confirmed case is detected in a healthcare facility, standard procedure of rapid isolation, contact listing and tracking disinfection will follow with no need to shut down the whole facility”.Only in rare cases, it has suggested, a part of the facility can be shut down temporarily. Here is what the guidelines say:If a patient admitted for any other illness tests positive for Covid-19The guidelines also state that all hospitals should have a contingency plan so that the facilities do not shut down if a healthcare worker tests positive.It has been suggested that the employees split into groups and each takes turn in working for 14 days. That will help minimise the number of employees getting exposed to a healthcare worker or a patient testing positive.But there could be some situations where a hospital or portions of it may need to be shut down, the guidelines say. If despite taking all measures, reports of hospital-acquired Covid-19 cases continue to pour in, “it would be advisable to temporarily close the defined section of the health facility where the maximum number of hospital acquired infection (HAI) is being reported. After thorough cleaning and disinfection it can be put to use again”.The guidelines list preventive steps",2020-01-05 01:07:00
